episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
60,1.0,-2.370585026596806,-5.36792335385916,-155.25418524311414,0.0,0.3333333333333333,3,1.0,False,True,0.23330485219487723,1,60.05723639247675,1600065807.5752757,in_progress
60,2.0,-2.37206327161477,-5.368213766032783,-155.38046697512385,0.0,1.0,5,1.0,False,True,0.23574337036605378,1,60.05723639247675,1600065807.6434255,in_progress
60,3.0,-2.3814151891147386,-5.379911917160719,-153.7175618254799,-30.0,0.6666666666666666,1,1.0,False,True,0.25802494412582033,1,60.05723639247675,1600065807.7120256,in_progress
60,4.0,-2.4045462499782295,-5.401414153498674,-151.62703952758878,-30.0,0.3333333333333333,0,1.0,False,True,0.3079700054698581,1,60.05723639247675,1600065807.7780442,in_progress
60,5.0,-2.426510188713622,-5.419869981807892,-150.22479077642956,0.0,0.6666666666666666,4,1.0,False,True,0.35403150281778817,1,60.05723639247675,1600065807.8446233,in_progress
60,6.0,-2.4521866543979254,-5.4417510410364525,-148.72153685193732,30.0,0.6666666666666666,7,1.0,False,True,0.4080911811774536,2,60.05723639247675,1600065807.9157436,in_progress
60,7.0,-2.4854673151670963,-5.472626761611362,-146.6337244705815,-30.0,1.0,2,1.0,False,True,0.4799087791307496,2,60.05723639247675,1600065807.9832585,in_progress
60,8.0,-2.520211504601033,-5.503519689808576,-145.10457101661163,30.0,0.3333333333333333,6,1.0,False,True,0.5539543581141158,2,60.05723639247675,1600065808.0444682,in_progress
60,9.0,-2.558555104980221,-5.541707246914755,-142.81712307569703,-30.0,0.3333333333333333,0,1.0,False,True,0.6385155838615342,3,60.05723639247675,1600065808.112305,in_progress
60,10.0,-2.579779224033217,-5.564789404301457,-141.42262664477408,-30.0,1.0,2,1.0,False,True,0.6866739663275372,3,60.05723639247675,1600065808.1753845,in_progress
60,11.0,-2.6065408337485456,-5.590729615834381,-140.6106556363201,-30.0,1.0,2,1.0,False,True,0.7451975041118083,3,60.05723639247675,1600065808.2438254,in_progress
60,12.0,-2.650927990801795,-5.627060962199415,-140.7671450403471,-30.0,1.0,2,0.5,False,True,0.8376151575910232,3,60.05723639247675,1600065808.3180616,in_progress
60,13.0,-2.695977163555425,-5.657574507471067,-141.909903690955,-30.0,0.6666666666666666,1,0.5,False,True,0.9269875991867343,4,60.05723639247675,1600065808.382665,in_progress
60,14.0,-2.750642630692464,-5.688689730592612,-143.989281477106,-30.0,1.0,2,0.5,False,True,1.0313297067204872,4,60.05723639247675,1600065808.4454987,in_progress
60,15.0,-2.7924410620959046,-5.709453399457283,-145.82383757210425,0.0,0.6666666666666666,4,0.5,False,True,1.1090058157865625,4,60.05723639247675,1600065808.5186553,in_progress
