episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
120,1.0,-2.370803379681028,-5.368056197730567,-155.2688901518399,-30.0,0.3333333333333333,0,1.0,False,True,0.23372757175742004,1,60.05723639247675,1600066698.3140464,in_progress
120,2.0,-2.3735756794450276,-5.371706003276724,-154.69989707012635,0.0,0.3333333333333333,3,1.0,False,True,0.240459221512375,1,60.05723639247675,1600066698.3789442,in_progress
120,3.0,-2.3809170444949026,-5.381416660767549,-153.28138008303213,30.0,0.3333333333333333,6,1.0,False,True,0.25831723638593806,1,60.05723639247675,1600066698.4426827,in_progress
120,4.0,-2.3952957776277595,-5.397031194902896,-151.46568771116245,-30.0,1.0,2,1.0,False,True,0.2909269747307409,1,60.05723639247675,1600066698.520065,in_progress
120,5.0,-2.4197730096541203,-5.421724888595803,-149.1269462742235,-30.0,0.6666666666666666,1,1.0,False,True,0.3451273363598828,1,60.05723639247675,1600066698.5867822,in_progress
120,6.0,-2.44762570420515,-5.45070920062129,-146.61461865847463,0.0,0.6666666666666666,4,1.0,False,True,0.40741745134200763,2,60.05723639247675,1600066698.6471746,in_progress
120,7.0,-2.4809475670727035,-5.480076158744988,-145.2029823941637,-30.0,0.3333333333333333,0,1.0,False,True,0.47824859392050534,2,60.05723639247675,1600066698.724697,in_progress
120,8.0,-2.5169211400865668,-5.509639280169335,-144.3299098379497,30.0,0.3333333333333333,6,1.0,False,True,0.5532300626153854,2,60.05723639247675,1600066698.784181,in_progress
120,9.0,-2.543428047531375,-5.532411506803462,-143.62041797636104,0.0,0.3333333333333333,3,1.0,False,True,0.6091659708991655,2,60.05723639247675,1600066698.8618565,in_progress
120,10.0,-2.5780961592327998,-5.56171556165316,-142.8876942814715,-30.0,1.0,2,1.0,False,True,0.6819906362307221,3,60.05723639247675,1600066698.9228435,in_progress
120,11.0,-2.60546083233345,-5.582667875364994,-142.84125314996692,0.0,0.3333333333333333,3,1.0,False,True,0.7379592309193522,3,60.05723639247675,1600066698.9800963,in_progress
120,12.0,-2.635167562953363,-5.604319932125297,-143.0467474571883,-30.0,0.3333333333333333,0,1.0,False,True,0.7979602739701364,3,60.05723639247675,1600066699.0529299,in_progress
120,13.0,-2.6699607511293726,-5.626617012173468,-143.79116274996227,0.0,0.6666666666666666,4,0.5,False,True,0.8661033410792027,3,60.05723639247675,1600066699.116168,in_progress
120,14.0,-2.7015202779317193,-5.645171239030158,-144.67887725262224,-30.0,0.6666666666666666,1,0.5,False,True,0.9267518730219896,4,60.05723639247675,1600066699.1863284,in_progress
120,15.0,-2.7378699877300234,-5.663945301960744,-146.0155217214986,-30.0,0.6666666666666666,1,0.5,False,True,0.9948008391249796,4,60.05723639247675,1600066699.2536035,in_progress
120,16.0,-2.7807304090247,-5.68341937020611,-147.7682982888877,-30.0,0.6666666666666666,1,0.5,False,True,1.0731888034481172,4,60.05723639247675,1600066699.3227482,in_progress
120,17.0,-2.8300570365861506,-5.700261930399027,-150.51128166204415,-30.0,0.6666666666666666,1,0.5,False,True,1.1595291938451504,5,60.05723639247675,1600066699.3866374,in_progress
120,18.0,-2.8550228435859726,-5.7074747415711,-152.0155388211009,-30.0,1.0,2,1.0,False,True,1.2023169426006413,5,60.05723639247675,1600066699.458428,in_progress
120,19.0,-2.923368797681787,-5.719257506003109,-156.91787642147034,0.0,0.6666666666666666,4,1.0,False,True,1.3139193845175647,5,60.05723639247675,1600066699.5166507,in_progress
120,20.0,-2.9717535086822964,-5.7238185973191005,-160.39541763225338,0.0,0.6666666666666666,4,1.0,False,True,1.3902960575810084,6,60.05723639247675,1600066699.583395,in_progress
120,21.0,-3.008444038602139,-5.727164718322701,-162.5562103543209,0.0,1.0,5,1.0,False,True,1.4481348483633825,6,60.05723639247675,1600066699.6567397,in_progress
120,22.0,-3.070579375889722,-5.727915912657489,-166.71437656909256,-30.0,0.3333333333333333,0,1.0,False,True,1.542668540888234,6,60.05723639247675,1600066699.7150917,in_progress
120,23.0,-3.1068314264315675,-5.726444793667427,-169.10167924938523,-30.0,0.3333333333333333,0,1.0,False,True,1.5964942860425935,6,60.05723639247675,1600066699.7799702,in_progress
120,24.0,-3.145966195870109,-5.721259716143365,-172.06852714961323,30.0,1.0,8,1.0,False,True,1.6520993624050153,7,60.05723639247675,1600066699.8522394,in_progress
120,25.0,-3.1901053190925097,-5.711407400066621,-175.80192973758545,30.0,0.3333333333333333,6,1.0,False,True,1.712030981302323,7,60.05723639247675,1600066699.918558,in_progress
120,26.0,-3.2350353490787787,-5.7074467925261185,-177.4828576487179,30.0,0.3333333333333333,6,1.0,False,True,1.777253358261804,7,60.05723639247675,1600066699.98403,in_progress
120,27.0,-3.2646624166311544,-5.707467982959395,-177.78360472949066,30.0,0.6666666666666666,7,1.0,False,True,1.8220926877081374,7,60.05723639247675,1600066700.0485308,in_progress
120,28.0,-3.296023593084297,-5.708938170621822,-177.73529889208712,30.0,0.6666666666666666,7,1.0,False,True,1.8705631364532145,7,60.05723639247675,1600066700.1160352,in_progress
120,29.0,-3.3353491620040487,-5.7149653091116095,-176.69673952028884,30.0,0.6666666666666666,7,1.0,False,True,1.9342518242011548,8,60.05723639247675,1600066700.1865535,in_progress
120,30.0,-3.381887369317596,-5.725803017533394,-174.8095618780928,0.0,0.6666666666666666,4,1.0,False,True,2.0121933444836113,8,60.05723639247675,1600066700.2516282,in_progress
